id,mssv,listening,reading,total,mamh,ghichu
144.0,A3B55E76XPvAibaEXe/7YVAxOsMwOlSm2jrgLdri, NULL, NULL,53.0, NULL, NULL
145.0,F9F00F9BXPvAibaEXe/7YVAxOsMwOkCUOyzVAIdc, NULL, NULL,54.0, NULL, NULL
146.0,EF351515XPvAibaEXe9CFhTkHod3yS5z1VDkCy75, NULL, NULL,54.0, NULL, NULL
147.0,FA26D15DXPvAibaEXe+x/3KKGWxYH5f+BLhTctEV, NULL, NULL,55.0, NULL, NULL
148.0,77AA22BDXPvAibaEXe/5h0vZw0NHLw1SiBz29uk2, NULL, NULL,56.0, NULL, NULL
149.0,41879EDBXPvAibaEXe8HWu5TvPOfaMIlvMjXTKxE, NULL, NULL,58.0, NULL, NULL
150.0,7605FEEEXPvAibaEXe8808q51BnmQv/RCCjB4N+s, NULL, NULL,59.0, NULL, NULL
151.0,92D79C05XPvAibaEXe+x/3KKGWxYH9g/4fJgJYs6, NULL, NULL,60.0, NULL, NULL
152.0,62BFFE2EXPvAibaEXe/9ugxkUZcLfPe37BSUxSyd, NULL, NULL,0.0, AVSC, NULL
153.0,2D9401D8XPvAibaEXe9wxm0WjsXoKi8Gkvb5OPeR, NULL, NULL,11.0, AVSC, NULL
154.0,59F1708DXPvAibaEXe+dMotnUFI9LS1TYt9joenk, NULL, NULL,11.0, AVSC, NULL
155.0,EA1D81AFXPvAibaEXe/RnFf25EKRr7/Z28Po+End, NULL, NULL,13.0, AVSC, NULL
156.0,9FA1AF84XPvAibaEXe9JJ0DEqozv6EHh9Z2rxnaz, NULL, NULL,14.0, AVSC, NULL
161.0,192E4235XPvAibaEXe92Jin2iMtHChKANAao8ZUk, NULL, NULL,15.0, AVSC, NULL
162.0,A3609609XPvAibaEXe/5h0vZw0NHL1nnBX6fWEJQ, NULL, NULL,15.0, AVSC, NULL
164.0,CFD92B12XPvAibaEXe8NrxrmA741rwjdaY15+2D+, NULL, NULL,16.0, AVSC, NULL
165.0,61180195XPvAibaEXe9gcLLHJLBBnR5wpoU3apq+, NULL, NULL,16.0, AVSC, NULL
166.0,02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo, NULL, NULL,16.0, AVSC, NULL
167.0,4152FE50XPvAibaEXe9G2n4phUxISJmNzq1KHgOO, NULL, NULL,16.0, AVSC, NULL
168.0,B5B671BFXPvAibaEXe8Ve7JqRML75doVJ2SaEcz4, NULL, NULL,16.0, AVSC, NULL
169.0,BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ, NULL, NULL,16.0, AVSC, NULL
170.0,973154C3XPvAibaEXe+Y2Dmraxe1iYT8oxNVsVdy, NULL, NULL,16.0, AVSC, NULL
172.0,D9B44B1CXPvAibaEXe9ASX2YKqk5Aeh+/OS8HqTX, NULL, NULL,16.0, AVSC, NULL
173.0,5F015460XPvAibaEXe/5h0vZw0NHL3rTJlBbR6W0, NULL, NULL,17.0, AVSC, NULL
174.0,32180497XPvAibaEXe/t7ClCI88v7sGEqCvtpJrq, NULL, NULL,17.0, AVSC, NULL
175.0,2900754CXPvAibaEXe9gcLLHJLBBnX1D4yMOsVg0, NULL, NULL,17.0, AVSC, NULL
176.0,3DD6D60BXPvAibaEXe/81GDNmtxKsSpculnFzj6s, NULL, NULL,17.0, AVSC, NULL
177.0,01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt, NULL, NULL,18.0, AVSC, NULL
178.0,FF9BCACDXPvAibaEXe9a9WHB728zIL656Mdf6zEw, NULL, NULL,18.0, AVSC, NULL
179.0,22101E7EXPvAibaEXe+EYzJPHISY88zmD5Ggw1zy, NULL, NULL,18.0, AVSC, NULL
181.0,7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR, NULL, NULL,19.0, AVSC, NULL
182.0,68481D94XPvAibaEXe+3sZoWnetaj+cTym+QdnwT, NULL, NULL,19.0, AVSC, NULL
183.0,1C245E0EXPvAibaEXe/rR9uJzGOYEuQ8DvEilYoI, NULL, NULL,19.0, AVSC, NULL
184.0,1018ADF8XPvAibaEXe/5n/8z7IorIk20OdhUEnK0, NULL, NULL,19.0, AVSC, NULL
185.0,330A20C4XPvAibaEXe+n4oL3iuTqC+0PyxPF31kr, NULL, NULL,19.0, AVSC, NULL
186.0,6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi, NULL, NULL,19.0, AVSC, NULL
187.0,A99910D5XPvAibaEXe8X/UxhAbbOGw8A+5PDAGk9, NULL, NULL,19.0, AVSC, NULL
188.0,3B36303EXPvAibaEXe92Jin2iMtHCuWTyMGfWwjT, NULL, NULL,19.0, AVSC, NULL
189.0,D18E8F78XPvAibaEXe8G+DN2/i3pryst66Pf9PYJ, NULL, NULL,19.0, AVSC, NULL
190.0,F26FD744XPvAibaEXe8OLQLlidG6//6ShwJ1wZku, NULL, NULL,19.0, AVSC, NULL
191.0,4C9B57D9XPvAibaEXe8eJZh5OyStbNCI+BAkeQmo, NULL, NULL,19.0, AVSC, NULL
